Address,lat,lng,price,Installment,level,title,location,Complete_Address,Zip_code
"Kemang, Jakarta Selatan",-6.175445,106.82800429999998,7900000000,45330000,"DKI Jakarta,Jakarta Selatan,Kemang","Rumah di Kemang, Jakarta Selatan ~ Furnished ~ Swimming Pool, Kemang, Jakarta Selatan","-6.175445,106.82800429999998","RW 02, Gambir, Jakarta Pusat, JKT, 10110, NKRI",10110
"Senayan, Jakarta Selatan",-6.250460899999999,106.78665999999998,4200000000,24100000,"DKI Jakarta,Jakarta Selatan,Senayan","Apartemen Senayan Residence ~ Fully Furnished ~ Siap Huni, Senayan, Jakarta Selatan","-6.250460899999999,106.78665999999998","SMA Negeri 74 Jakarta, Jalan Dharma Putra XI, RW 12, Kebayoran Lama Selatan, Kebayoran Lama, Jakarta Selatan, JKT, 12240, NKRI",12240
"Pancoran, Jakarta Selatan",None,None,3500000000,None,"DKI Jakarta,Jakarta Selatan,Pancoran",The Loggia,,,
"Kemang, Jakarta Selatan",-6.266939,106.82409800000005,13900000000,79760000,"DKI Jakarta,Jakarta Selatan,Kemang","Kemang/Ampera-Murah ! Rumah 1 lantai halaman luas, Kemang, Jakarta Selatan","-6.266939,106.82409800000005","Gang Jawara, RW 03, Bangka, Mampang Prapatan, Jakarta Selatan, JKT, 12730, NKRI",12730
"Kalideres, Jakarta Barat",-6.0972271,106.6999002,510000000,2930000,"DKI Jakarta,Jakarta Barat,Kalideres","Rumah Murah Minimalis Cambela Permai !!, Kalideres, Jakarta Barat","-6.0972271,106.6999002","Gang H. Rawin, RW 03, Kamal, Kalideres, Jakarta Barat, JKT, 15125, NKRI",15125
"Kemang, Jakarta Selatan",None,None,9950000000,57090000,"DKI Jakarta,Jakarta Selatan,Kemang","Rumah Super Cantik @ Kemang Area Jakarta Selatan., Kemang, Jakarta Selatan",,,
"Mampang Prapatan, Jakarta Selatan",None,None,2500000000,14350000,"DKI Jakarta,Jakarta Selatan,Mampang Prapatan","Dijual Rumah Kos Baru @ Pondok Jaya., Mampang Prapatan, Jakarta Selatan",,,
"Pesanggarahan, Jakarta Selatan",-6.2236577,106.76311280000004,3200000000,18360000,"DKI Jakarta,Jakarta Selatan,Pesanggarahan","permata mediterania pos pengumben jakarta selatan, Pesanggarahan, Jakarta Selatan","-6.2236577,106.76311280000004","RT 01, RW 09, Ulujami, Pesanggrahan, Jakarta Selatan, JKT, 11550., NKRI",11550
"Kemang, Jakarta Selatan",-6.266939,106.82409800000005,6000000000,34430000,"DKI Jakarta,Jakarta Selatan,Kemang","@BANGKA~LB/LT : 350/152 ~FURNISH~6M ,JAKARTA SELATAN, Kemang, Jakarta Selatan","-6.266939,106.82409800000005","Gang Jawara, RW 03, Bangka, Mampang Prapatan, Jakarta Selatan, JKT, 12730, NKRI",12730
"Kemang, Jakarta Selatan",-6.175445,106.82800429999998,3000000000,17210000,"DKI Jakarta,Jakarta Selatan,Kemang","Apartmen Kemang Jaya ~  2 Bedrooms ~ Siap Huni, Kemang, Jakarta Selatan","-6.175445,106.82800429999998","RW 02, Gambir, Jakarta Pusat, JKT, 10110, NKRI",10110
"Kemang, Jakarta Selatan",-6.175445,106.82800429999998,28000000000,160670000,"DKI Jakarta,Jakarta Selatan,Kemang","Rumah di Kemang, Jakarta Selatan ~ Posisi Hoek, Kemang, Jakarta Selatan","-6.175445,106.82800429999998","RW 02, Gambir, Jakarta Pusat, JKT, 10110, NKRI",10110
"Kemang, Jakarta Selatan",-6.175445,106.82800429999998,42000000000,241000000,"DKI Jakarta,Jakarta Selatan,Kemang","Rumah Cantik di Kemang, Jakarta Selatan ~ Siap Huni ~ Taman Luas ~ Swimming Pool, Kemang, Jakarta Selatan","-6.175445,106.82800429999998","RW 02, Gambir, Jakarta Pusat, JKT, 10110, NKRI",10110
